번호,사용브랜드,사용기간,구매장소,구매가격,정보획득,구입조언,하루사용시간,브랜드이미지,가격만족도,재구매의향,구매중요도1_메모리,구매중요도2_배터리,구매중요도3_카메라,구매중요도4_처리속도,구매중요도5_보안기능,구매중요도6_운영체계,구매중요도7_디자인,구매중요도8_음질,구매중요도9_A/S,구매중요도10_명성 ,성별,연령,연령2,학력,직업,월수입,결혼,가족수
9,1,4,2,130,2,4,4,5,5,4,1,3,3,3,5,2,2,5,5,5,1,5,3,6,2,6,2,4
8,1,5,2,130,5,3,5,2,3,3,5,4,5,4,4,5,4,4,2,1,0,3,2,8,3,6,2,3
103,1,1,2,150,6,1,1,1,2,1,5,5,3,4,5,3,3,3,5,3,0,2,1,6,3,6,2,2
160,2,1,4,10,6,1,2,1,1,1,2,1,3,1,1,4,4,3,2,2,1,2,1,4,10,3,1,3
92,2,3,1,48,1,2,2,2,2,3,1,1,2,2,4,1,2,1,3,3,0,6,3,2,7,3,2,3
228,2,3,4,50,1,2,5,2,3,3,1,2,4,2,2,2,3,3,2,2,0,3,2,6,3,4,2,2
194,2,2,3,50,3,2,2,3,1,2,1,2,5,2,3,1,5,5,3,2,0,2,1,4,4,3,1,4
132,2,1,2,70,5,2,2,1,2,2,1,2,3,2,1,3,3,2,3,2,1,2,1,4,4,4,2,2
236,2,5,4,70,6,1,1,2,3,3,1,1,3,2,2,1,4,4,1,1,1,3,2,4,10,2,1,3
212,2,2,2,70,1,1,2,3,3,2,1,2,4,2,1,1,5,3,1,2,0,2,1,4,7,1,2,1
185,2,5,4,70,1,2,1,3,2,3,1,1,5,1,4,2,5,5,3,4,1,3,2,7,4,5,2,3
207,2,3,2,75,1,2,1,2,3,3,2,3,3,2,1,2,4,2,2,2,0,3,2,4,4,2,2,2
161,2,3,4,80,6,2,3,3,2,3,1,2,3,2,4,2,2,1,3,3,0,4,2,4,4,2,2,1
218,2,5,4,80,6,1,1,3,3,3,2,2,4,2,1,2,4,3,1,2,0,3,2,4,4,2,1,4
91,2,3,2,80,1,3,1,4,3,3,2,3,3,2,1,2,4,2,1,1,0,3,2,4,4,5,2,2
20,2,4,2,80,1,2,4,2,3,2,4,5,4,2,4,5,5,5,3,2,0,4,2,4,4,3,2,3
232,2,3,2,89,1,2,2,3,2,3,2,1,4,2,1,2,4,2,2,1,0,3,2,4,7,1,2,3
233,2,2,4,90,1,1,2,1,2,1,1,2,2,2,4,2,2,1,3,3,0,4,2,4,7,1,2,3
125,2,5,4,90,1,2,5,2,2,3,1,2,2,1,3,2,2,1,3,3,0,4,2,8,3,6,2,2
183,2,5,1,90,1,5,2,4,4,5,1,2,3,1,4,1,2,3,5,4,0,5,3,8,3,5,2,1
64,2,5,2,90,5,3,3,1,3,2,1,2,4,2,2,2,3,3,2,1,1,4,2,2,6,4,2,3
243,2,3,1,90,1,2,1,4,4,5,4,3,3,3,2,5,3,3,2,2,1,4,2,4,2,3,1,4
45,2,1,4,90,4,3,2,2,2,2,2,2,3,2,2,2,4,3,1,1,1,3,2,4,10,1,1,1
26,2,2,5,90,1,1,3,2,3,2,2,1,3,2,2,2,4,3,1,1,0,3,2,4,5,2,2,2
41,2,5,4,90,5,1,2,2,2,1,1,2,3,2,2,1,4,3,2,1,1,2,1,4,8,4,1,1
36,2,2,4,90,2,2,4,1,1,2,1,2,3,1,2,2,4,3,2,1,1,2,1,4,4,3,1,4
163,2,4,3,90,1,2,5,2,2,1,2,2,3,2,1,2,4,4,2,1,1,3,2,4,4,3,1,1
105,2,1,3,90,2,1,1,2,2,2,1,2,4,2,2,1,5,3,1,2,0,2,1,4,10,2,2,1
117,2,1,4,90,6,2,5,1,2,2,1,2,3,2,2,1,5,3,2,2,0,2,1,4,4,2,1,1
32,2,3,4,90,6,2,3,2,2,3,1,3,3,2,2,2,5,3,2,2,0,2,1,4,5,2,1,4
93,2,4,1,90,6,2,3,3,2,3,1,1,5,2,4,1,5,5,3,3,1,3,2,8,3,5,2,3
184,2,3,4,90,1,2,1,2,2,3,1,3,5,1,3,2,5,3,3,3,0,2,1,4,4,2,2,2
224,2,5,2,98,2,5,3,5,4,5,1,2,2,1,4,1,2,3,4,3,0,6,3,2,5,4,2,2
7,2,4,4,100,6,3,4,4,4,5,1,2,2,2,3,1,2,1,3,2,1,6,3,8,3,5,3,3
77,2,5,2,100,6,1,1,5,5,5,1,1,2,2,3,2,2,2,3,3,0,5,3,4,4,5,2,2
135,2,4,4,100,6,3,2,5,4,4,1,1,2,1,5,1,2,3,4,4,0,6,3,3,7,3,2,3
165,2,3,3,100,2,2,2,4,5,5,1,3,2,1,4,2,2,5,5,5,1,5,3,4,4,6,2,2
100,2,4,4,100,2,2,3,4,3,4,1,1,3,2,2,1,3,3,2,1,1,2,1,6,2,4,2,2
79,2,2,2,100,1,2,3,3,2,2,1,2,3,2,3,2,3,3,2,1,0,3,2,7,3,4,1,1
241,2,4,1,100,6,3,2,3,3,3,1,1,4,3,3,2,3,3,2,2,0,3,2,7,7,4,2,3
166,2,2,2,100,1,1,2,3,2,3,2,1,3,2,2,3,3,2,3,3,1,2,1,4,4,6,2,2
221,2,2,1,100,1,1,2,3,2,2,4,5,3,2,4,5,3,3,4,5,1,4,2,4,1,4,2,2
97,2,5,4,100,6,1,2,2,2,1,1,2,3,2,1,3,4,3,1,1,0,2,1,6,4,2,2,3
16,2,3,4,100,5,2,2,2,2,2,2,1,3,2,2,2,4,3,1,2,0,3,2,4,5,2,2,3
123,2,1,4,100,6,2,4,2,1,2,2,1,3,2,2,2,4,3,1,2,0,3,2,4,4,4,1,3
88,2,2,2,100,6,2,5,3,3,2,1,2,4,1,2,1,4,4,2,2,1,3,2,4,2,5,2,3
82,2,4,2,100,6,1,5,3,3,4,1,2,3,1,3,3,4,3,2,3,0,2,1,6,10,3,1,3
101,2,2,1,100,2,2,5,2,3,2,2,1,4,2,1,2,4,2,2,2,0,3,2,6,9,1,1,3
76,2,1,2,100,6,2,3,1,3,2,1,1,5,2,3,2,4,3,3,2,0,3,2,2,7,6,2,3
215,2,1,5,100,6,2,5,1,2,2,2,1,3,2,2,2,4,3,3,4,1,2,1,4,6,1,1,2
95,2,5,1,100,1,2,4,2,2,3,1,2,5,1,5,2,4,5,4,3,1,2,1,4,2,5,2,3
71,2,3,4,100,6,2,1,2,3,3,2,2,4,3,4,2,4,2,4,4,1,2,1,4,4,3,2,1
10,2,5,4,100,1,1,1,1,1,1,1,1,5,2,2,3,5,4,2,2,0,2,1,4,4,3,1,1
14,2,1,2,100,1,2,2,1,3,2,1,1,3,2,3,3,5,5,2,3,0,2,1,4,2,3,1,2
15,2,2,5,100,1,2,4,2,3,2,1,2,3,1,3,2,5,4,2,3,0,2,1,4,7,6,2,3
234,2,5,2,100,4,1,5,2,2,3,1,3,3,2,3,3,5,4,2,1,0,2,1,4,4,2,1,4
54,2,3,1,100,6,2,2,1,2,1,1,3,5,2,3,2,5,3,3,2,1,3,2,8,10,6,2,3
115,2,3,2,100,6,2,2,3,3,4,1,3,5,2,3,2,5,3,3,3,1,3,2,6,2,6,2,2
78,2,2,2,100,2,3,1,3,2,3,1,2,5,2,3,3,5,3,3,3,0,2,1,4,10,1,1,2
61,2,1,4,100,6,2,1,1,2,2,1,2,5,3,5,2,5,5,4,5,0,2,1,4,4,2,2,1
49,2,1,3,100,6,4,3,2,2,2,4,5,3,3,5,4,5,3,4,4,1,4,2,8,3,6,2,3
124,2,3,1,100,1,2,4,3,2,2,4,5,4,2,4,4,5,4,4,5,0,4,2,2,4,3,2,3
122,2,2,2,110,2,3,5,2,3,2,2,1,3,2,4,2,4,2,1,2,0,3,2,4,2,6,2,4
40,2,5,4,120,6,1,5,2,5,5,1,2,1,1,4,1,1,2,4,3,0,5,3,2,9,1,3,1
193,2,5,4,120,6,4,4,5,5,5,5,4,2,4,5,5,1,2,4,4,0,5,3,8,3,4,2,2
60,2,2,4,120,2,4,5,3,5,4,1,2,2,1,3,1,2,2,3,4,1,5,3,4,4,5,2,3
106,2,4,2,120,2,5,2,3,4,5,1,2,2,2,5,2,2,2,3,3,1,5,3,2,4,6,2,3
240,2,5,2,120,6,2,2,4,4,3,1,3,2,3,4,2,2,2,3,2,0,4,2,6,7,5,2,3
121,2,4,4,120,6,3,2,3,3,4,1,2,3,1,5,1,2,5,5,4,1,5,3,4,2,5,2,3
187,2,2,4,120,6,1,4,3,2,2,1,3,3,1,3,2,3,3,2,3,1,2,1,4,4,5,2,3
59,2,2,4,120,2,3,5,3,2,3,4,3,3,2,2,5,3,3,2,1,1,4,2,4,4,5,2,3
110,2,5,1,120,5,2,2,3,2,2,4,5,3,2,4,4,3,3,4,3,1,4,2,4,4,5,2,3
50,2,3,4,120,6,3,2,4,2,3,4,5,4,3,4,4,3,3,4,5,1,4,2,6,4,3,2,1
143,2,3,1,120,1,2,3,4,4,3,1,1,5,2,1,1,4,3,1,2,0,3,2,2,7,1,2,3
52,2,2,1,120,6,3,1,2,4,3,2,1,4,2,4,2,4,2,1,2,0,3,2,4,6,4,2,3
216,2,1,5,120,1,2,1,3,3,2,2,1,4,2,1,2,4,4,2,1,1,3,2,4,6,1,1,3
53,2,3,2,120,2,1,2,2,2,1,2,1,3,2,4,2,4,2,4,4,1,2,1,4,2,5,2,3
87,2,1,1,120,4,2,5,2,2,2,2,2,5,3,5,3,4,2,4,4,1,2,1,4,2,6,2,2
99,2,4,2,120,6,2,1,2,3,3,1,1,3,2,1,2,5,4,1,2,1,3,2,4,6,3,2,3
109,2,5,1,120,5,2,2,4,2,3,1,1,3,2,3,2,5,4,2,1,1,3,2,4,4,5,2,3
4,2,2,2,120,6,2,2,1,3,2,1,1,5,1,3,3,5,3,3,3,1,3,2,7,3,2,2,2
239,2,4,5,120,4,2,2,4,3,3,1,1,5,1,3,2,5,3,3,3,1,3,2,4,4,5,2,3
29,2,2,2,120,6,2,3,2,2,1,1,2,3,1,5,3,5,3,3,2,0,2,1,4,4,3,2,3
169,2,3,1,120,6,2,4,4,4,3,1,2,5,2,5,3,5,5,4,4,0,1,1,2,8,6,1,3
136,2,3,3,120,4,1,1,3,2,3,2,1,5,2,4,2,5,2,4,4,1,1,1,2,8,4,1,2
23,2,3,4,120,1,1,3,2,2,3,4,5,4,3,5,4,5,5,4,4,0,4,2,2,7,3,2,3
35,2,2,4,126,6,2,1,2,2,1,1,2,5,2,4,3,5,2,4,3,1,2,1,2,6,2,2,2
173,2,5,4,128,2,3,5,5,3,4,1,2,3,1,5,3,5,5,3,2,1,3,2,4,4,5,2,1
37,2,4,2,130,5,5,1,3,3,4,5,5,1,4,5,5,1,1,4,5,0,5,3,2,4,2,2,3
127,2,3,4,130,6,5,5,5,4,4,1,2,3,3,5,1,1,1,5,5,1,5,3,6,4,5,2,2
133,2,5,4,130,2,3,5,3,5,5,1,3,1,1,4,3,1,2,5,3,0,5,3,8,10,4,2,1
55,2,4,4,130,1,1,1,4,2,3,1,2,4,2,3,3,4,4,2,1,1,3,2,4,3,4,2,2
131,2,3,2,130,2,2,4,2,2,1,2,3,3,2,3,2,4,3,2,2,1,2,1,4,9,1,1,3
38,2,2,2,130,6,1,3,3,3,2,4,4,3,4,4,5,5,5,3,3,0,4,2,4,7,6,2,3
203,2,1,4,138,6,3,2,1,2,2,1,3,4,2,4,2,5,5,3,4,1,3,2,4,4,2,2,3
219,2,2,2,140,1,2,1,1,2,2,1,2,3,3,3,3,3,3,2,1,1,2,1,4,3,3,2,3
198,2,5,1,150,6,4,3,5,5,5,5,5,1,4,5,1,1,1,4,4,1,5,3,8,3,6,2,3
138,2,5,1,150,2,2,2,4,4,5,5,4,3,5,5,1,1,2,4,4,0,5,3,2,7,5,2,3
209,2,2,4,150,6,2,5,2,2,2,4,5,3,4,5,4,3,3,4,4,1,4,2,6,3,6,2,2
17,2,3,3,150,1,2,3,1,2,1,1,1,3,2,1,2,4,3,1,2,1,2,1,4,4,4,1,2
155,2,1,4,150,6,1,2,1,2,2,1,2,5,2,1,2,4,2,1,1,1,2,1,3,8,1,1,3
147,2,2,5,150,1,2,3,2,2,3,2,3,4,2,2,2,4,2,2,1,0,3,2,4,7,6,2,2
213,2,4,2,150,6,2,5,5,3,4,2,3,4,1,3,2,4,3,2,2,0,2,1,7,8,2,1,1
6,2,2,1,150,6,2,2,2,1,2,2,3,3,2,2,2,4,3,3,4,1,2,1,4,4,3,2,3
235,2,3,4,150,6,2,2,3,2,3,2,3,3,2,2,2,4,3,3,3,1,2,1,4,1,3,1,2
146,2,3,5,150,1,3,4,2,2,3,1,2,4,1,1,3,5,4,2,1,0,2,1,4,7,6,2,2
118,2,4,3,150,6,2,4,3,3,3,4,4,4,4,5,3,5,5,3,4,0,4,2,4,3,3,2,3
33,2,3,4,150,1,3,3,3,4,3,4,5,4,4,3,4,5,5,4,5,1,4,2,8,3,2,2,3
199,2,3,1,150,6,2,2,2,3,3,2,2,3,2,5,2,5,5,5,5,1,1,1,2,1,4,1,4
206,2,3,4,160,6,1,5,3,1,2,1,3,3,2,2,3,3,2,3,3,1,2,1,5,8,1,1,3
140,2,3,4,170,6,3,5,1,2,2,2,3,4,2,5,2,4,4,1,2,1,3,2,4,2,5,1,4
128,2,5,4,180,6,4,3,4,5,5,1,2,3,1,5,1,2,3,5,3,1,6,3,1,9,3,3,2
25,2,3,5,180,6,5,3,3,3,3,4,5,4,2,4,4,3,3,4,4,1,4,2,6,4,5,1,4
149,2,2,3,182,6,2,5,2,3,2,1,2,3,2,2,4,5,5,3,4,1,3,2,4,4,6,2,2
244,2,4,1,190,5,5,2,3,5,4,1,2,2,3,4,1,1,2,4,2,0,5,3,4,4,2,2,4
90,2,3,2,190,6,2,2,2,4,3,4,5,4,2,4,4,5,5,4,5,0,4,2,4,4,5,1,4
177,2,1,5,200,3,5,5,3,3,4,5,5,3,4,5,5,1,1,5,3,1,5,3,8,4,5,2,1
180,2,3,4,200,1,4,4,4,4,5,1,2,1,1,5,1,2,3,4,3,0,5,3,8,3,6,2,2
153,2,5,5,200,2,4,4,5,3,4,1,2,2,2,5,2,2,5,5,2,1,5,3,6,6,5,1,2
43,2,1,2,200,2,4,5,2,3,3,1,2,3,3,1,2,3,2,2,2,0,3,2,8,4,5,2,1
75,2,5,4,200,6,3,5,1,2,2,4,4,3,3,2,2,3,3,2,2,1,4,2,4,2,5,2,2
114,2,5,2,200,5,1,3,2,3,3,1,2,3,1,2,3,3,2,3,3,0,2,1,2,7,3,2,3
74,2,5,4,200,6,2,5,1,3,2,1,2,3,2,1,1,4,4,1,2,1,3,2,4,2,5,2,2
137,2,2,5,200,6,2,3,2,3,3,2,3,4,1,4,2,4,3,1,1,0,2,1,7,8,2,1,2
226,2,3,5,200,6,2,1,3,2,3,2,2,4,3,2,2,4,3,2,2,0,2,1,6,4,6,2,2
98,2,5,1,200,2,3,2,4,3,4,2,1,3,1,3,2,4,2,2,1,0,3,2,6,4,3,2,2
242,2,3,1,200,2,1,2,4,2,3,1,2,3,2,5,2,5,5,5,5,1,1,1,2,1,2,1,1
72,2,5,2,250,1,4,2,3,3,3,1,3,3,1,1,2,3,2,2,1,0,3,2,8,3,6,1,1
